year,Investors_Name,total_investment
2015,Lightspeed India,1000000.0
2015,"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",1000000.0
2015,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",1000000.0
2015,Orios Venture Partner,1000000.0
2015,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",1000000.0
2015,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",1000000.0
2015,"Mumbai Angels, Mayank Bhangdia, Kae Capital",1000000.0
2015,Reliance Capital,900000.0
2015,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",900000.0
2015,KARSEMVEN Fund,825000.0
2015,Undisclosed investors,800000.0
2015,Swarnim Multiventures,800000.0
2015,Cross Border Angels,800000.0
2015,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",785000.0
2015,"Quintillion Media, 500 Startups",770000.0
2015,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",770000.0
2015,"YourNest Angel Fund, Venture Nursery",750000.0
2015,"Uniqorn ventures, ASP Consulting",700000.0
2015,"Pradyumna Dalmia, Sudhir Rao & Others",700000.0
2015,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",700000.0
2015,India Quotient,675000.0
2015,"Kunal Bajaj, Chandru Badrinarayanan",650000.0
2015,"Atul Jalan, Shrikanth & Bharath",640000.0
2015,Rainmatter,635000.0
2015,YouWeCan Ventures,630000.0
2015,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",625000.0
2015,"Raghav Bahl, Ritu Kapur",600000.0
2015,High Networth Individuals (No details),600000.0
2015,"Sashi Reddi, Gabriel Investments",600000.0
2015,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",600000.0
2015,Gordon and Betty Moore Foundation,600000.0
2015,LionRock Capital,600000.0
2015,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",600000.0
2015,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",550000.0
2015,Infuse Ventures,550000.0
2015,DSG Consumer Partners,540000.0
2015,Ravi Krishnamurthy,530000.0
2015,"India Quotient, Kae Capital",518000.0
2015,"Jai Choi, Kiyohiro Sugashita, Hirokazu",500000.0
2015,i2india Ventures,500000.0
2015,"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",500000.0
2015,i2india Pvt Ltd,500000.0
2015,"Mahesh Pratapneni, Pallab Chatterjee & others",500000.0
2015,Mount Nathan Advisors Pte Ltd,500000.0
2015,Srinivas Tirupati,500000.0
2015,"Rishi Parti, BrahmaX Ventures",500000.0
2015,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\xc2\xa0 Mohit Saxena, Internet Group, TNN Capital and others",500000.0
2015,undisclosed private investors,500000.0
2015,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",500000.0
2015,Karnataka Semiconductor Venture Capital firm,500000.0
2015,"Calcutta Angels, Venture Nursery Angels Mumbai Angels",500000.0
2015,"Orios Venture Partners, Amit Ranjan & others",500000.0
2015,"Aarin Capital Partners, TV Mohandas Pai",500000.0
2015,GrowX Ventures,500000.0
2015,"Kae Capital, GSF, Teruhide Sato",500000.0
2015,"Nihon Kotsu,",500000.0
2015,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",500000.0
2015,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &\xc2\xa0 Group of other Angel investors",500000.0
2015,Tamarind Family Private Trust,500000.0
2015,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",500000.0
